AirlineID,IataCode,IcaoCode,Name,Active
2738,,HEC,Heliservicio Campeche,0
2739,,HSU,Helisul,0
2740,,HSI,Heliswiss,0
2741,,HLT,Helitafe,0
2742,,HIT,Helitalia,0
2743,,OFA,Helitaxi Ofavi,0
2744,,HTA,Helitrans,0
2745,,HTS,Helitrans Air Service,0
2746,,HLW,Heliworks,0
2747,T4,HEJ,Hellas Jet,1
2748,HW,FHE,Hello,1
2749,,HLG,Helog,0
2750,2L,OAW,Helvetic Airways,1
2751,DU,HMS,Hemus Air,0
2752,,HAC,Henebury Aviation,0
2753,,SSH,Heritiage Flight (Valley Air Services),0
2754,,MRX,Herman's Markair Express,0
2755,,HED,Herritage Aviation Developments,0
2756,EO,ALX,Hewa Bora Airways,0
2757,UD,HER,Hex'Air,1
2758,,HHS,Hi-Jet Helicopter Services,0
2759,5K,HFY,Hi Fly,0
2760,,HLB,High-Line Airways,0
2761,,HWY,Highland Airways,1
2762,,HIS,Hispaniola Airways,0
2763,,HGA,Hogan Air,0
2764,,NTH,Hokkaido Air System,0
2765,HD,ADO,Hokkaido International Airlines,1
2766,,ABH,Hokuriki-Koukuu Company,0
2767,H5,HOA,Hola Airlines,0
2768,,HIN,Holding International Group,0
2769,,HOL,Holiday Airlines,0
2770,,HTR,Holstenair Lubeck,0
2771,,HMV,Homac Aviation,0
2772,,HAS,Honduras Airlines,0
2773,HX,CRK,Hong Kong Airlines,1
2774,UO,HKE,Hong Kong Express Airways,1
2775,,HEX,Honiara Cargo Express,0
2776,,HPJ,Hop-A-Jet,0
2777,HH,,Hope Air,0
2778,QX,QXE,Horizon Air,1
2779,,KOK,Horizon Air Service,0
2780,,HSM,Horizon Air for Transport and Training,0
2781,,HOR,Horizon Air-Taxi,0
2782,BN,HZA,Horizon Airlines,1
2783,,HPS,Horizon Plus,0
2784,,HUD,Horizons Unlimited,0
2785,,HOZ,Horizontes Aereos,0
2786,,HDI,Hoteles Dinamicos,0
2787,,HHO,Houston Helicopters,0
2788,,GGV,Houston Jet Services,0
2789,,OZU,Hozu-Avia,0
2790,,HUB,Hub Airlines,0
2791,,HUS,Huessler Air Service,0
2792,,GMH,Hughes Aircraft Company,0
2793,,WHR,Hummingbird Helicopter Service,0
2794,,HUV,Hunair Hungarian Airlines,0
2795,,HUF,Hungarian Air Force,0
2796,,HYA,Hyack Air,0
2797,,HYC,Hydro Air Flight Operations,0
2798,,HYD,Hydro-Québec,0
2799,H4,,Héli Sécurité Helicopter Airlines,0
2800,,ITC,International Air Carrier Association,0
2801,II,CSQ,IBC Airways,0
2802,,IBL,IBL Aviation,0
2803,,BBL,IBM Euroflight Operations,0
2804,,YYY,ICAO,0
2805,C3,,ICAR Airlines,0
2806,,CIC,ICC Canada,0
2807,,IDG,IDG Technology Air,0
2808,,IFL,IFL Group,0
2809,,RDE,II Lione Alato Arl,0
2810,,IJM,IJM International Jet Management,0
2811,,IKK,IKI International Airlines,0
2812,,IKN,IKON FTO,0
2813,,BLU,IMP Aviation Services,0
2814,,XGG,IMP Group Aviation Services,0
2815,1F,,INFINI Travel Information,0
2816,,IPA,IPEC Aviation,0
2817,,IPM,IPM Europe,0
2818,,LVB,IRS Airlines,0
2819,,ISD,ISD Avia,0
2820,1U,,ITA Software,0
2821,,FDF,IVV Femida,0
2822,IB,IBE,Iberia Airlines,1
2823,,IBR,Ibertour Servicios Aereos,0
2824,,IBT,Ibertrans Aerea,0
2825,TY,IWD,Iberworld,1
2826,FW,IBX,Ibex Airlines,1
2827,,IBC,Ibicenca Air,0
2828,,AKI,Ibk-Petra,0
2829,,RAC,Icar Air,1
2830,,FRC,Icare Franche Compte,0
2831,,ICD,Icaro,0
2832,,ICA,Icaro,0
2833,,IUS,Icarus,0
2834,,ICJ,Icejet,0
2835,FI,ICE,Icelandair,1
2836,,ICG,Icelandic Coast Guard,0
2837,,IKR,Ikaros DK,0
2838,,CIO,Il Ciocco International Travel Service,0
2839,,ILV,Il-Avia,0
2840,,IDL,Ildefonso Redriguez,0
2841,,IAR,Iliamna Air Taxi,0
2842,,ILP,Ilpo Aruba Cargo,0
2843,,ILL,Ilyich-Avia,0
2844,,IMR,Imaer,0
2845,IK,ITX,Imair Airlines,1
2846,,PNX,Imperial Airways,0
2847,,IMT,Imtrec Aviation,0
2848,DH,IDE,Independence Air,0
2849,,IDP,Independent Air Freighters,0
2850,6E,IGO,IndiGo Airlines,1
2851,,IIL,India International Airways,0
2852,,IFC,Indian Air Force,0
2853,IC,IAC,Indian Airlines,1
2854,,IDR,Indicator Company,0
2855,I9,IBU,Indigo,1
2856,,IDA,Indonesia Air Transport,0
2857,QZ,AWQ,Indonesia AirAsia,1
2858,IO,IAA,Indonesian Airlines,1
2859,,IPN,Industri Pesawat Terbang Nusantara,0
2860,,ITN,Industrias Titan,0
2861,,FFI,Infinit Air,0
2862,,INS,Inflite The Jet Centre,0
2863,,IVA,Innotech Aviation,0
2864,,INC,Insel Air International,0
2865,,ICC,Instituto Cartografico de Cataluna,0
2866,,INT,Intair,0
2867,,INL,Intal Avia,0
2868,,FFL,Intavia Limited,0
2869,IJ,IJT,InteliJet Airways,0
2870,,XRA,Intensive Air,0
2871,,ITW,Inter Air,0
2872,,INX,Inter Express,0
2873,H4,IIN,Inter Islands Airlines,0
2874,,CAR,Inter RCA,0
2875,,NTT,Inter Tropic Airlines,0
2876,,ITA,Inter-Air,0
2877,,ICN,Inter-Canadian,0
2878,,UGL,Inter-Island Air,0
2879,,IMA,Inter-Mountain Airways,0
2880,,ITS,Inter-State Aviation,0
2881,D6,ILN,Interair South Africa,1
2882,,NTE,Interaire,0
2883,ZA,SUW,Interavia Airlines,1
2884,,IVT,Interaviatrans,0
2885,RS,ICT,Intercontinental de Aviaci,0
2886,,ICP,Intercopters,0
2887,,IFT,Interflight,0
2888,,IJT,Interflight (Learjet),0
2889,,RFL,Interfly,0
2890,,IFF,Interfreight Forwarding,0
2891,,IGN,Interguide Air,0
2892,,ISN,Interisland Airlines,0
2893,,IWY,Interisland Airways Limited,0
2894,,MTF,Interjet,0
2895,,IHE,Interjet Helicopters,0
2896,ID,ITK,Interlink Airlines,1
2897,,IAK,International Air Cargo Corporation,0
2898,,EXX,International Air Corporation,0
2899,,IAS,International Air Service,0
2900,,IAX,International Air Services,0
2901,6I,IBZ,International Business Air,0
2902,,IBY,International Business Aircraft,0
2903,,ICS,International Charter Services,0
